Title,Temp,Hum
0,20.00 ,0.95 
1,20.00 ,0.95 
2,20.00 ,0.95 
3,20.00 ,0.95 
4,20.00 ,0.95 
5,19.00 ,0.95 
6,19.00 ,0.95 
7,21.00 ,0.95 
8,23.00 ,0.95 
9,25.00 ,0.95 
10,27.00 ,0.95 
11,28.00 ,0.95 
12,29.00 ,0.95 
13,29.00 ,0.95 
14,28.00 ,0.95 
15,27.00 ,0.95 
16,26.00 ,0.95 
17,24.00 ,0.95 
18,23.00 ,0.95 
19,22.00 ,0.95 
20,21.00 ,0.95 
21,21.00 ,0.95 
22,21.00 ,0.95 
23,20.00 ,0.95 
